,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
2012,MAR01210,,Leukotriene metabolism,MAM00741m + MAM01597m --> MAM00838m + MAM01261m,"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + CoA [m] --> 3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [m] + acetyl-CoA [m]",0.0,1000.0,False,False,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,"2.3.1.16, 1.1.1.211",,,RE3342M
2013,MAR01211,,Leukotriene metabolism,MAM00741x + MAM01597x --> MAM00838x + MAM01261x,"3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + CoA [x] --> 3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [x] + acetyl-CoA [x]",0.0,1000.0,False,False,ENSG00000060971 and ENSG00000167306,2.3.1.16,,,RE3342X
2014,MAR01212,,Leukotriene metabolism,MAM00838m + MAM02040m --> MAM00837m + MAM01597m + MAM02039m,"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [m] + H2O [m] --> 3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate [m] + CoA [m] + H+ [m]",0.0,1000.0,False,False,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,3.1.2.2,,,RE3343M
2015,MAR01213,,Leukotriene metabolism,MAM00838x + MAM02040x --> MAM00837x + MAM01597x + MAM02039x,"3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [x] + H2O [x] --> 3-oxo-10(S)-hydroxy-octadeca-(6E,8E,12Z)-trienoate [x] + CoA [x] + H+ [x]",0.0,1000.0,False,False,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,3.1.2.2,,,RE3343X
2016,MAR01228,,Leukotriene metabolism,MAM00326c + MAM02039c + MAM02553c --> MAM00253c + MAM02552c,"12-keto-LTB4 [c] + H+ [c] + NADH [c] --> 10,11-dihydro-12-oxo-LTB4 [c] + NAD+ [c]",0.0,1000.0,False,False,ENSG00000106853 or ENSG00000149084 or ENSG00000205678,1.3.1.-,,,RE3430C
2017,MAR01229,,Leukotriene metabolism,MAM00326m + MAM02039m + MAM02553m --> MAM00253m + MAM02552m,"12-keto-LTB4 [m] + H+ [m] + NADH [m] --> 10,11-dihydro-12-oxo-LTB4 [m] + NAD+ [m]",0.0,1000.0,False,False,ENSG00000106853 or ENSG00000149084 or ENSG00000205678,1.3.1.-,,,RE3430M
2018,MAR01230,,Leukotriene metabolism,MAM00326x + MAM02039x + MAM02553x --> MAM00253x + MAM02552x,"12-keto-LTB4 [x] + H+ [x] + NADH [x] --> 10,11-dihydro-12-oxo-LTB4 [x] + NAD+ [x]",0.0,1000.0,False,False,ENSG00000106853 or ENSG00000149084 or ENSG00000205678,1.3.1.-,,,RE3430X
2019,MAR01231,,Leukotriene metabolism,MAM00253c + MAM02039c + MAM02555c --> MAM00257c + MAM02554c,"10,11-dihydro-12-oxo-LTB4 [c] + H+ [c] + NADPH [c] --> 10,11-dihydro-LTB4 [c] + NADP+ [c]",0.0,1000.0,False,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,RE3432C
2020,MAR01232,,Leukotriene metabolism,MAM00253m + MAM02039m + MAM02555m --> MAM00257m + MAM02554m,"10,11-dihydro-12-oxo-LTB4 [m] + H+ [m] + NADPH [m] --> 10,11-dihydro-LTB4 [m] + NADP+ [m]",0.0,1000.0,False,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,HMR_1232
2021,MAR01233,,Leukotriene metabolism,MAM00253x + MAM02039x + MAM02555x --> MAM00257x + MAM02554x,"10,11-dihydro-12-oxo-LTB4 [x] + H+ [x] + NADPH [x] --> 10,11-dihydro-LTB4 [x] + NADP+ [x]",0.0,1000.0,False,False,ENSG00000157326 or ENSG00000159228 or ENSG00000159231,1.1.1.184,,,HMR_1233
