,ID,Name,Formula,Formula weight,Charge,Compartment,KEGG,BiGG,ChEBI,VMH,Reactions
51,MAM00019c,(13Z)-octadecenoic acid,C18H33O2,281.45342,-1,c,,,CHEBI:82618,M00019,"MAR00687, MAR00690, MAR00254, MAR00689, MAR00685, MAR00256, MAR00688, MAR00691, MAR00257, MAR09742, MAR00686, MAR00255, MAR00692, MAR10033"
52,MAM00019l,(13Z)-octadecenoic acid,C18H33O2,281.45342,-1,l,,,CHEBI:82618,M00019,"MAR03553, MAR09742"
53,MAM00019r,(13Z)-octadecenoic acid,C18H33O2,281.45342,-1,r,,,CHEBI:82618,M00019,"MAR02962, MAR03698, MAR05257, MAR10034"
54,MAM00019e,(13Z)-octadecenoic acid,C18H33O2,281.45342,-1,e,,,CHEBI:82618,M00019,"MAR00257, MAR00012, MAR00254, MAR00016, MAR00015, MAR13044"
55,MAM00020c,(13Z)-octadecenoyl-CoA,C39H64N7O17P3S,1027.948443,-4,c,,,,M00020,"MAR00551, MAR00500, MAR00546, MAR00552, MAR00256, MAR00547, MAR00553, MAR00255, MAR10036, MAR00548, MAR02292, MAR00549, MAR00271, MAR02657, MAR00545, MAR00550"
56,MAM00020m,(13Z)-octadecenoyl-CoA,C39H64N7O17P3S,1027.948443,-4,m,,,,M00020,"MAR03406, MAR02659"
57,MAM00020r,(13Z)-octadecenoyl-CoA,C39H64N7O17P3S,1027.948443,-4,r,,,,M00020,"MAR02962, MAR03639, MAR02822"
58,MAM00021c,"(13Z,16Z)-docosadienoic acid",C22H39O2,335.54386000000005,-1,c,C16533,,CHEBI:77806,M00021,"MAR00687, MAR00690, MAR00433, MAR00685, MAR00688, MAR00691, MAR00432, MAR00435, MAR09743, MAR00686, MAR00689, MAR00692, MAR10033, MAR00434"
59,MAM00021l,"(13Z,16Z)-docosadienoic acid",C22H39O2,335.54386000000005,-1,l,C16533,,CHEBI:77806,M00021,"MAR03595, MAR09743"
60,MAM00021r,"(13Z,16Z)-docosadienoic acid",C22H39O2,335.54386000000005,-1,r,C16533,,CHEBI:77806,M00021,"MAR03741, MAR03003, MAR05257, MAR10034"
61,MAM00021e,"(13Z,16Z)-docosadienoic acid",C22H39O2,335.54386000000005,-1,e,C16533,,CHEBI:77806,M00021,"MAR00432, MAR00016, MAR00012, MAR13045, MAR00015, MAR00435"
62,MAM00022c,"(13Z,16Z)-docosadienoylcarnitine",C29H52NO4,478.72747999999996,-1,c,,,CHEBI:73120,M00022,"MAR02902, MAR02771, MAR02772"
63,MAM00022m,"(13Z,16Z)-docosadienoylcarnitine",C29H52NO4,478.72747999999996,-1,m,,,CHEBI:73120,M00022,"MAR02773, MAR02772"
64,MAM00022r,"(13Z,16Z)-docosadienoylcarnitine",C29H52NO4,478.72747999999996,-1,r,,,CHEBI:73120,M00022,"MAR02902, MAR02903"
65,MAM00023c,"(13Z,16Z)-docosadienoyl-CoA",C43H70N7O17P3S,1082.038883,-4,c,C16645,,,M00023,"MAR00551, MAR00433, MAR00546, MAR00549, MAR00552, MAR02436, MAR00543, MAR00545, MAR00547, MAR00550, MAR00553, MAR10036, MAR02771, MAR00434, MAR00548"
66,MAM00023m,"(13Z,16Z)-docosadienoyl-CoA",C43H70N7O17P3S,1082.038883,-4,m,C16645,,,M00023,"MAR02773, MAR03424"
67,MAM00023r,"(13Z,16Z)-docosadienoyl-CoA",C43H70N7O17P3S,1082.038883,-4,r,C16645,,,M00023,"MAR03682, MAR02903, MAR03003"
68,MAM00024c,(15Z)-tetracosenoylcarnitine,C31H59NO4,509.80446,0,c,,nrvnccrn,,nrvnccrn,"MAR01559, MAR02913, MAR02912"
69,MAM00024r,(15Z)-tetracosenoylcarnitine,C31H59NO4,509.80446,0,r,,nrvnccrn,,nrvnccrn,"MAR02914, MAR02913"
70,MAM00025c,(15Z)-tetracosenoyl-CoA,C45H76N7O17P3S,1112.107923,-4,c,C16532,nrvnccoa,,nrvnccoa,"MAR02332, MAR00551, MAR03020, MAR00546, MAR00552, MAR00547, MAR00553, MAR10036, MAR00548, MAR00337, MAR00338, MAR00519, MAR00549, MAR02912, MAR00545, MAR02330, MAR00550, MAR06597"
71,MAM00025x,(15Z)-tetracosenoyl-CoA,C45H76N7O17P3S,1112.107923,-4,x,C16532,nrvnccoa,,nrvnccoa,"MAR03020, MAR03330, MAR00975, MAR03329, MAR06597, MAR05428"
72,MAM00025r,(15Z)-tetracosenoyl-CoA,C45H76N7O17P3S,1112.107923,-4,r,C16532,nrvnccoa,,nrvnccoa,"MAR02914, MAR02978, MAR03658, MAR03617"
73,MAM00026m,(18E)-20-oxo-20-CoA-LTB4,C41H57N7O21P3S,1108.911863,-5,m,,,,CE6186,"MAR01253, MAR01255"
74,MAM00026x,(18E)-20-oxo-20-CoA-LTB4,C41H57N7O21P3S,1108.911863,-5,x,,,,CE6186,"MAR01256, MAR01254"
75,MAM00027x,(18E)-20-oxo-20-CoA-LTE4,C44H62N8O22P3S2,1212.054763,-5,x,,,,CE6191,"MAR01291, MAR01292"
76,MAM00028c,(18R)-HEPE,C20H29O3,317.44246,-1,c,,,CHEBI:81563,CE7090,"MAR02585, MAR00036, MAR11792, MAR02586"
77,MAM00030c,"(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol",C20H18O3,306.35512,0,c,C19559,,CHEBI:82558,M00030,"MAR07056, MAR00035"
78,MAM00031c,"(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C20H23N3O7S,449.47752,-2,c,C14791,,CHEBI:33995,M00031,"MAR07003, MAR00035"
79,MAM00032c,"(1R,2S)-naphthalene 1,2-oxide",C10H8O,144.16992,0,c,C14786,onpthl,CHEBI:33998,onpthl,"MAR07008, MAR07011, MAR07001, MAR07004, MAR07003, MAR08927"
80,MAM00032e,"(1R,2S)-naphthalene 1,2-oxide",C10H8O,144.16992,0,e,C14786,onpthl,CHEBI:33998,onpthl,"MAR08927, MAR09388"
81,MAM00033c,"(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C20H23N3O7S,449.47752,-2,c,C14792,,CHEBI:34000,M00033,"MAR00035, MAR07013"
82,MAM00034c,"(1S,2R)-naphthalene 1,2-oxide",C10H8O,144.16992,0,c,C14787,,CHEBI:34001,M00034,"MAR07014, MAR07013, MAR07016, MAR07015, MAR07002"
83,MAM00035c,"(24R)-24,25-dihydroxycalciol",C27H44O3,416.63646,0,c,C07712,2425dhvitd3,CHEBI:28818,2425dhvitd3,"MAR02137, MAR08007, MAR08000, MAR02139"
84,MAM00035m,"(24R)-24,25-dihydroxycalciol",C27H44O3,416.63646,0,m,C07712,2425dhvitd3,CHEBI:28818,2425dhvitd3,"MAR02140, MAR02138, MAR02767, MAR08000, MAR08006"
85,MAM00035e,"(24R)-24,25-dihydroxycalciol",C27H44O3,416.63646,0,e,C07712,2425dhvitd3,CHEBI:28818,2425dhvitd3,"MAR09212, MAR08007"
86,MAM00036x,"(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA",C48H76N7O21P3S,1212.137623,-4,x,C05450,,CHEBI:52050,HC01459,"MAR01642, MAR01646, MAR01760"
87,MAM00037x,"(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA",C48H76N7O20P3S,1196.138223,-4,x,C05448,thcholoylcoa,CHEBI:27403,thcholoylcoa,"MAR01456, MAR01761, MAR01706, MAR01708"
88,MAM00038c,(2E)-decenoyl-[ACP],C21H37N2O8PRS,,-1,c,C05754,,,HC01597,"MAR02166, MAR02167"
89,MAM00039m,(2E)-decenoyl-CoA,C31H48N7O17P3S,915.735803,-4,m,C05275,dc2coa,CHEBI:10723,dc2coa,"MAR03142, MAR03298, MAR03143, MAR02187"
90,MAM00039x,(2E)-decenoyl-CoA,C31H48N7O17P3S,915.735803,-4,x,C05275,dc2coa,CHEBI:10723,dc2coa,"MAR04968, MAR03323, MAR03090, MAR03091"
91,MAM00040c,(2E)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,c,,,CHEBI:74692,CE2242,"MAR02209, MAR02210"
92,MAM00040m,(2E)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,m,,,CHEBI:74692,CE2242,"MAR03107, MAR03108"
93,MAM00040x,(2E)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,x,,,CHEBI:74692,CE2242,"MAR03066, MAR03067"
94,MAM00041c,(2E)-dodecenoyl-[ACP],C23H41N2O8PRS,,-1,c,C05758,,CHEBI:10725,HC01601,"MAR02170, MAR02171"
95,MAM00042m,(2E)-dodecenoyl-CoA,C33H52N7O17P3S,943.788963,-4,m,C03221,dd2coa,CHEBI:15471,dd2coa,"MAR02149, MAR01185, MAR03136, MAR01227, MAR03239, MAR03272, MAR03135"
